,county,date,case_count,trump,clinton,party,mobility,i_rank,population,normalized_cases,scaled_cases,norm_scale_cases,mobility_scaled,death_count,deaths_normalized,scaled_deaths,norm_scale_deaths
1,Alachua,1/22/2020,0,46834,75820,democrat,103.93,23,263148,0,-0.221949553,-0.504297222,-0.168531756,0,0,-0.245875845,-0.542063564
2,Alachua,1/23/2020,0,46834,75820,democrat,106.16,23,263148,0,-0.221949553,-0.504297222,-0.124990809,0,0,-0.245875845,-0.542063564
3,Alachua,1/24/2020,0,46834,75820,democrat,131.05,23,263148,0,-0.221949553,-0.504297222,0.360988643,0,0,-0.245875845,-0.542063564
4,Alachua,1/25/2020,0,46834,75820,democrat,120.3,23,263148,0,-0.221949553,-0.504297222,0.151093942,0,0,-0.245875845,-0.542063564
5,Alachua,1/26/2020,0,46834,75820,democrat,91.92,23,263148,0,-0.221949553,-0.504297222,-0.403028068,0,0,-0.245875845,-0.542063564
6,Alachua,1/27/2020,0,46834,75820,democrat,97.3,23,263148,0,-0.221949553,-0.504297222,-0.297983092,0,0,-0.245875845,-0.542063564
7,Alachua,1/28/2020,0,46834,75820,democrat,102,23,263148,0,-0.221949553,-0.504297222,-0.206215177,0,0,-0.245875845,-0.542063564
8,Alachua,1/29/2020,0,46834,75820,democrat,99.21,23,263148,0,-0.221949553,-0.504297222,-0.260690173,0,0,-0.245875845,-0.542063564
9,Alachua,1/30/2020,0,46834,75820,democrat,110.02,23,263148,0,-0.221949553,-0.504297222,-0.049623967,0,0,-0.245875845,-0.542063564
10,Alachua,1/31/2020,0,46834,75820,democrat,144.46,23,263148,0,-0.221949553,-0.504297222,0.62282008,0,0,-0.245875845,-0.542063564
11,Alachua,2/1/2020,0,46834,75820,democrat,129.98,23,263148,0,-0.221949553,-0.504297222,0.340096799,0,0,-0.245875845,-0.542063564
12,Alachua,2/2/2020,0,46834,75820,democrat,93.15,23,263148,0,-0.221949553,-0.504297222,-0.37901221,0,0,-0.245875845,-0.542063564
13,Alachua,2/3/2020,0,46834,75820,democrat,97.86,23,263148,0,-0.221949553,-0.504297222,-0.287049043,0,0,-0.245875845,-0.542063564
14,Alachua,2/4/2020,0,46834,75820,democrat,100.93,23,263148,0,-0.221949553,-0.504297222,-0.227107021,0,0,-0.245875845,-0.542063564
15,Alachua,2/5/2020,0,46834,75820,democrat,105.94,23,263148,0,-0.221949553,-0.504297222,-0.129286328,0,0,-0.245875845,-0.542063564
16,Alachua,2/6/2020,0,46834,75820,democrat,108.8,23,263148,0,-0.221949553,-0.504297222,-0.073444575,0,0,-0.245875845,-0.542063564
17,Alachua,2/7/2020,0,46834,75820,democrat,135.37,23,263148,0,-0.221949553,-0.504297222,0.445337026,0,0,-0.245875845,-0.542063564
18,Alachua,2/8/2020,0,46834,75820,democrat,128.78,23,263148,0,-0.221949553,-0.504297222,0.316666693,0,0,-0.245875845,-0.542063564
19,Alachua,2/9/2020,0,46834,75820,democrat,99.12,23,263148,0,-0.221949553,-0.504297222,-0.262447431,0,0,-0.245875845,-0.542063564
20,Alachua,2/10/2020,0,46834,75820,democrat,100.18,23,263148,0,-0.221949553,-0.504297222,-0.241750838,0,0,-0.245875845,-0.542063564
21,Alachua,2/11/2020,0,46834,75820,democrat,105.3,23,263148,0,-0.221949553,-0.504297222,-0.141782385,0,0,-0.245875845,-0.542063564
22,Alachua,2/12/2020,0,46834,75820,democrat,108.33,23,263148,0,-0.221949553,-0.504297222,-0.082621367,0,0,-0.245875845,-0.542063564
23,Alachua,2/13/2020,0,46834,75820,democrat,127,23,263148,0,-0.221949553,-0.504297222,0.281912035,0,0,-0.245875845,-0.542063564
24,Alachua,2/14/2020,0,46834,75820,democrat,157.51,23,263148,0,-0.221949553,-0.504297222,0.877622484,0,0,-0.245875845,-0.542063564
25,Alachua,2/15/2020,0,46834,75820,democrat,143.37,23,263148,0,-0.221949553,-0.504297222,0.601537733,0,0,-0.245875845,-0.542063564
26,Alachua,2/16/2020,0,46834,75820,democrat,108.81,23,263148,0,-0.221949553,-0.504297222,-0.073249324,0,0,-0.245875845,-0.542063564
27,Alachua,2/17/2020,0,46834,75820,democrat,107.82,23,263148,0,-0.221949553,-0.504297222,-0.092579162,0,0,-0.245875845,-0.542063564
28,Alachua,2/18/2020,0,46834,75820,democrat,107.65,23,263148,0,-0.221949553,-0.504297222,-0.095898427,0,0,-0.245875845,-0.542063564
29,Alachua,2/19/2020,0,46834,75820,democrat,110.22,23,263148,0,-0.221949553,-0.504297222,-0.045718949,0,0,-0.245875845,-0.542063564
30,Alachua,2/20/2020,0,46834,75820,democrat,116.62,23,263148,0,-0.221949553,-0.504297222,0.079241617,0,0,-0.245875845,-0.542063564
31,Alachua,2/21/2020,0,46834,75820,democrat,140.65,23,263148,0,-0.221949553,-0.504297222,0.548429493,0,0,-0.245875845,-0.542063564
32,Alachua,2/22/2020,0,46834,75820,democrat,135.36,23,263148,0,-0.221949553,-0.504297222,0.445141775,0,0,-0.245875845,-0.542063564
33,Alachua,2/23/2020,0,46834,75820,democrat,102.54,23,263148,0,-0.221949553,-0.504297222,-0.195671629,0,0,-0.245875845,-0.542063564
34,Alachua,2/24/2020,0,46834,75820,democrat,100.9,23,263148,0,-0.221949553,-0.504297222,-0.227692774,0,0,-0.245875845,-0.542063564
35,Alachua,2/25/2020,0,46834,75820,democrat,103.86,23,263148,0,-0.221949553,-0.504297222,-0.169898512,0,0,-0.245875845,-0.542063564
36,Alachua,2/26/2020,0,46834,75820,democrat,119.22,23,263148,0,-0.221949553,-0.504297222,0.130006847,0,0,-0.245875845,-0.542063564
37,Alachua,2/27/2020,0,46834,75820,democrat,124.22,23,263148,0,-0.221949553,-0.504297222,0.227632289,0,0,-0.245875845,-0.542063564
38,Alachua,2/28/2020,0,46834,75820,democrat,157.9,23,263148,0,-0.221949553,-0.504297222,0.885237269,0,0,-0.245875845,-0.542063564
39,Alachua,2/29/2020,0,46834,75820,democrat,117.31,23,263148,0,-0.221949553,-0.504297222,0.092713928,0,0,-0.245875845,-0.542063564
40,Alachua,3/1/2020,0,46834,75820,democrat,86.23,23,263148,0,-0.221949553,-0.504297222,-0.514125822,0,0,-0.245875845,-0.542063564
41,Alachua,3/2/2020,0,46834,75820,democrat,89.77,23,263148,0,-0.221949553,-0.504297222,-0.445007009,0,0,-0.245875845,-0.542063564
42,Alachua,3/3/2020,0,46834,75820,democrat,89.19,23,263148,0,-0.221949553,-0.504297222,-0.45633156,0,0,-0.245875845,-0.542063564
43,Alachua,3/4/2020,0,46834,75820,democrat,91.26,23,263148,0,-0.221949553,-0.504297222,-0.415914627,0,0,-0.245875845,-0.542063564
44,Alachua,3/5/2020,0,46834,75820,democrat,94.83,23,263148,0,-0.221949553,-0.504297222,-0.346210061,0,0,-0.245875845,-0.542063564
45,Alachua,3/6/2020,0,46834,75820,democrat,114.68,23,263148,0,-0.221949553,-0.504297222,0.041362945,0,0,-0.245875845,-0.542063564
46,Alachua,3/7/2020,0,46834,75820,democrat,119.74,23,263148,0,-0.221949553,-0.504297222,0.140159893,0,0,-0.245875845,-0.542063564
47,Alachua,3/8/2020,0,46834,75820,democrat,99.42,23,263148,0,-0.221949553,-0.504297222,-0.256589905,0,0,-0.245875845,-0.542063564
48,Alachua,3/9/2020,0,46834,75820,democrat,108.03,23,263148,0,-0.221949553,-0.504297222,-0.088478893,0,0,-0.245875845,-0.542063564
49,Alachua,3/10/2020,0,46834,75820,democrat,110.97,23,263148,0,-0.221949553,-0.504297222,-0.031075133,0,0,-0.245875845,-0.542063564
50,Alachua,3/11/2020,1,46834,75820,democrat,113.35,23,263148,3.80E-06,-0.221675852,-0.503454212,0.015394578,0,0,-0.245875845,-0.542063564
51,Alachua,3/12/2020,1,46834,75820,democrat,119.84,23,263148,3.80E-06,-0.221675852,-0.503454212,0.142112402,0,0,-0.245875845,-0.542063564
52,Alachua,3/13/2020,2,46834,75820,democrat,140,23,263148,7.60E-06,-0.221402151,-0.502611203,0.535738185,0,0,-0.245875845,-0.542063564
53,Alachua,3/14/2020,1,46834,75820,democrat,119.29,23,263148,3.80E-06,-0.221675852,-0.503454212,0.131373603,0,0,-0.245875845,-0.542063564
54,Alachua,3/15/2020,1,46834,75820,democrat,86.35,23,263148,3.80E-06,-0.221675852,-0.503454212,-0.511782811,0,0,-0.245875845,-0.542063564
55,Alachua,3/16/2020,1,46834,75820,democrat,91.64,23,263148,3.80E-06,-0.221675852,-0.503454212,-0.408495093,0,0,-0.245875845,-0.542063564
56,Alachua,3/17/2020,4,46834,75820,democrat,85.15,23,263148,1.52E-05,-0.220854749,-0.500925184,-0.535212917,0,0,-0.245875845,-0.542063564
57,Alachua,3/18/2020,7,46834,75820,democrat,79.61,23,263148,2.66E-05,-0.220033646,-0.498396156,-0.643381908,0,0,-0.245875845,-0.542063564
58,Alachua,3/19/2020,11,46834,75820,democrat,76.55,23,263148,4.18E-05,-0.218938842,-0.495024118,-0.703128678,0,0,-0.245875845,-0.542063564
59,Alachua,3/20/2020,15,46834,75820,democrat,81.44,23,263148,5.70E-05,-0.217844038,-0.49165208,-0.607650996,0,0,-0.245875845,-0.542063564
60,Alachua,3/21/2020,25,46834,75820,democrat,67.81,23,263148,9.50E-05,-0.215107029,-0.483221986,-0.873777951,0,0,-0.245875845,-0.542063564
61,Alachua,3/22/2020,35,46834,75820,democrat,50.88,23,263148,0.000133005,-0.212370019,-0.474791891,-1.204337699,0,0,-0.245875845,-0.542063564
62,Alachua,3/23/2020,36,46834,75820,democrat,55.82,23,263148,0.000136805,-0.212096318,-0.473948882,-1.107883762,0,0,-0.245875845,-0.542063564
63,Alachua,3/24/2020,37,46834,75820,democrat,50.67,23,263148,0.000140605,-0.211822617,-0.473105873,-1.208437968,0,0,-0.245875845,-0.542063564
64,Alachua,3/25/2020,45,46834,75820,democrat,52.95,23,263148,0.000171006,-0.209633009,-0.466361797,-1.163920766,0,0,-0.245875845,-0.542063564
